shops,ratings,userids,shops_index,userids_index
mother-dough-singapore,4.0,2043,278.0,0.0
40-hands-singapore,4.0,488,3.0,24.0
awesome-coffee-singapore,4.0,2043,523.0,0.0
nylon-coffee-roasters-singapore,5.0,581,0.0,53.0
ps-cafe-singapore-8,4.0,1902,55.0,55.0
drips-singapore,4.0,675,14.0,6.0
sprout-singapore-2,5.0,225,472.0,43.0
walking-on-sunshine-cafe-singapore,4.0,2043,493.0,0.0
hustle-co-singapore,5.0,2073,170.0,90.0
percolate-singapore,5.0,1599,61.0,83.0
espressoul-singapore-2,4.0,671,139.0,80.0
simply-sandwich-singapore,4.0,2043,201.0,0.0
da-paolo-gastronomia-bukit-timah-bukit-timah,4.0,306,71.0,1.0
flavour-flings-singapore,5.0,2043,586.0,0.0
watanabe-coffee-singapore,4.0,2141,68.0,92.0
tobys-estate-singapore,4.0,949,11.0,97.0
group-therapy-cafe-singapore,4.0,2043,113.0,0.0
vanilla-bar-and-café-singapore-2,4.0,128,176.0,34.0
2am-dessert-bar-singapore,5.0,2473,30.0,51.0
penny-university-singapore,4.0,2061,22.0,4.0
glyph-singapore-2,5.0,2043,437.0,0.0
whisk-and-paddle-singapore-2,4.0,1722,492.0,73.0
my-awesome-cafe-singapore,5.0,2043,48.0,0.0
saintmarc-cafe-singapore,3.0,2479,247.0,7.0
twg-tea-singapore-3,5.0,26,47.0,96.0
jewel-coffee-at-millenia-walk-singapore,4.0,128,279.0,34.0
mother-dough-singapore,4.0,794,278.0,37.0
chocolat-n-spice-singapore-2,4.0,241,157.0,101.0
tuxedo-singapore,5.0,2043,779.0,0.0
ya-kun-kaya-toast-singapore-9,5.0,665,253.0,28.0
brunches-cafe-singapore-3,5.0,1075,147.0,10.0
isle-eating-house-singapore,5.0,2043,265.0,0.0
bees-knees-singapore,4.0,306,513.0,1.0
cedele-singapore-4,4.0,713,137.0,26.0
the-bread-project-singapore,4.0,186,133.0,3.0
ibake-singapore,3.0,2043,978.0,0.0
sarnies-singapore,4.0,91,40.0,2.0
spize-singapore-2,5.0,1075,60.0,10.0
mellower-coffee-singapore-188967,5.0,27,314.0,11.0
baker-and-cook-singapore,5.0,2192,50.0,77.0
loong-fatt-tau-sar-piah-singapore,5.0,713,239.0,26.0
tong-heng-singapore-3,5.0,2044,51.0,25.0
open-farm-community-singapore,5.0,2043,27.0,0.0
cedele-singapore-55,4.0,2043,411.0,0.0
tiong-bahru-bakery-singapore-4,5.0,1880,6.0,75.0
5-the-moments-cafe-singapore,4.0,27,159.0,11.0
dulcet-and-studio-singapore,4.0,2377,97.0,109.0
starbucks-singapore-86,5.0,2043,814.0,0.0
the-dog-and-bone-cafe-singapore-2,5.0,75,224.0,12.0
caffe-beviamo-tanglin-mall-singapore,5.0,488,108.0,24.0
house-of-commons-singapore,5.0,2043,904.0,0.0
clinton-street-baking-company-and-restaurant-singapore,5.0,1100,15.0,104.0
momo-cafe-singapore,5.0,1194,214.0,72.0
two-blur-guys-singapore,4.0,1779,31.0,52.0
carpenter-and-cook-singapore,4.0,1880,17.0,75.0
2am-dessert-bar-singapore,5.0,992,30.0,98.0
brunetti-singapore,5.0,209,63.0,38.0
starbucks-singapore-89,5.0,2043,962.0,0.0
chye-seng-huat-hardware-singapore,5.0,2350,1.0,15.0
kith-cafe-singapore-4,4.0,2043,248.0,0.0
kith-cafe-singapore-3,4.0,2043,438.0,0.0
sin-hoi-sai-eating-house-singapore,4.0,2192,152.0,77.0
hattendo-cafe-singapore,3.0,2043,351.0,0.0
l-atelier-tiramisu-singapore,5.0,1877,144.0,61.0
bundt-by-the-backyard-bakers-singapore,5.0,2043,216.0,0.0
penny-university-singapore,4.0,198,22.0,9.0
tuk-tuk-cha-singapore-2,4.0,1051,121.0,5.0
the-fabulous-baker-boy-singapore,4.0,1316,66.0,106.0
kara-cafe-and-dessert-bar-singapore,4.0,665,167.0,28.0
paul-depuis-1889-french-bakery-restaurant-singapore,5.0,2043,631.0,0.0
coffee-break-singapore,5.0,2043,420.0,0.0
crazy-world-cafe-singapore,3.0,2043,467.0,0.0
kk-delicacies-singapore,5.0,2043,906.0,0.0
pru-cafe-singapore,3.0,2043,557.0,0.0
builders-cafe-singapore-2,4.0,2043,812.0,0.0
jones-the-grocer-singapore-3,4.0,1022,23.0,66.0
high-gaming-hub-singapore-2,4.0,328,287.0,48.0
le-kue-singapore,5.0,1585,365.0,13.0
tiong-bahru-bakery-singapore,4.0,2043,76.0,0.0
sunset-railway-cafe-singapore,5.0,1825,614.0,42.0
old-hen-kitchen-singapore,5.0,306,333.0,1.0
pacific-coffee-singapore-4,4.0,2043,220.0,0.0
strangers-reunion-singapore,4.0,1880,7.0,75.0
going-om-singapore,5.0,1868,100.0,76.0
five-oars-coffee-roasters-singapore-2,5.0,2043,395.0,0.0
privé-singapore-7,4.0,2141,612.0,92.0
sun-ray-cafe-singapore,4.0,1667,126.0,29.0
paddy-hills-singapore,4.0,1160,105.0,60.0
atas-coffee-singapore,4.0,91,545.0,2.0
percolate-singapore,5.0,306,61.0,1.0
the-coffee-bean-and-tea-leaf-singapore-21,4.0,1276,140.0,27.0
don-don-donki-singapore-4,5.0,2043,844.0,0.0
killiney-kopitiam-singapore-5,3.0,2043,567.0,0.0
huggs-coffee-singapore-2,4.0,1051,370.0,5.0
flor-patisserie-singapore,5.0,186,36.0,3.0
ruyi-singapore,4.0,2043,763.0,0.0
platform-1094-singapore,5.0,2043,267.0,0.0
jones-the-grocer-singapore-3,4.0,2445,23.0,64.0
crystal-jade-my-breads-singapore-2,5.0,1316,525.0,106.0
jones-the-grocer-singapore-3,4.0,1544,23.0,99.0
tobys-estate-singapore,4.0,2237,11.0,8.0
toms-palette-singapore,5.0,898,4.0,41.0
two-blur-guys-singapore,4.0,2043,31.0,0.0
heavenly-wang-singapore-9,4.0,2141,202.0,92.0
sarnies-singapore,4.0,2445,40.0,64.0
local-coffee-people-singapore,4.0,2043,385.0,0.0
the-tiny-roaster-120106,5.0,2237,200.0,8.0
lolas-cafe-singapore,4.0,36,67.0,85.0
twg-tea-singapore-3,5.0,1868,47.0,76.0
artisan-boulangerie-co-singapore-4,5.0,2073,250.0,90.0
toms-palette-singapore,5.0,1051,4.0,5.0
40-hands-singapore,4.0,209,3.0,38.0
apollo-coffee-bar-singapore,3.0,1667,266.0,29.0
choupinette-singapore,4.0,2043,64.0,0.0
kara-cafe-and-dessert-bar-singapore,4.0,1722,167.0,73.0
pan-delights-singapore,2.0,2043,931.0,0.0
toms-palette-singapore,5.0,809,4.0,44.0
cottontail-creamery-singapore,5.0,1894,308.0,78.0
fuel-plus-singapore,4.0,2262,284.0,40.0
bacha-coffee-singapore,4.0,794,412.0,37.0
ps-cafe-singapore-11,3.0,1868,520.0,76.0
ya-kun-kaya-toast-singapore-35,5.0,2043,685.0,0.0
craftsmen-specialty-coffee-singapore-3,4.0,789,119.0,16.0
tcc-the-connoisseur-concerto-singapore-5,4.0,220,244.0,105.0
ya-kun-kaya-toast-singapore-22,4.0,2043,731.0,0.0
tantric-bar-and-may-wongs-cafe-singapore-2,4.0,2271,85.0,67.0
old-habits-singapore,5.0,2043,537.0,0.0
ananas-cafe-singapore-6,3.0,1051,498.0,5.0
6oz-espresso-bar-singapore,5.0,2043,237.0,0.0
lana-cake-singapore-3,5.0,898,65.0,41.0
open-book-cafe-singapore,4.0,1100,606.0,104.0
toast-box-singapore-27,4.0,1051,213.0,5.0
café-la-reina-singapore,5.0,2043,670.0,0.0
kith-cafe-singapore,4.0,1293,26.0,63.0
the-book-cafe-singapore,4.0,2474,21.0,107.0
the-fabulous-baker-boy-singapore,4.0,2350,66.0,15.0
old-tea-hut-singapore-2,4.0,2043,662.0,0.0
mr-bean-singapore-14,5.0,2043,585.0,0.0
avenue-cafe-singapore,3.0,2043,316.0,0.0
forty-hands-east-coast-singapore,5.0,2043,354.0,0.0
old-hen-coffee-bar-singapore-2,4.0,1475,44.0,20.0
twg-tea-singapore-3,5.0,18,47.0,23.0
the-fabulous-baker-boy-singapore,4.0,2540,66.0,18.0
the-flying-squirrel-singapore,5.0,152,99.0,49.0
jimmy-monkey-cafe-and-bar-singapore,4.0,76,9.0,84.0
sarnies-singapore,4.0,794,40.0,37.0
second-storey-cafe-bar-singapore,3.0,2043,386.0,0.0
qiji-singapore-3,4.0,322,443.0,86.0
the-coffee-bean-and-tea-leaf-singapore-23,4.0,2043,408.0,0.0
novus-singapore-2,4.0,2540,161.0,18.0
wild-honey-singapore,4.0,1882,5.0,46.0
pantler-singapore,5.0,2043,70.0,0.0
characters-cafe-singapore-2,4.0,18,600.0,23.0
paddy-hills-singapore,4.0,2043,105.0,0.0
old-town-white-coffee-singapore-13,4.0,2043,506.0,0.0
carry-on-singapore,5.0,1397,309.0,56.0
group-therapy-coffee-singapore,4.0,713,10.0,26.0
eaglewings-loft-singapore,4.0,2043,413.0,0.0
strangers-reunion-singapore,4.0,2237,7.0,8.0
dulcet-and-studio-singapore,4.0,2350,97.0,15.0
spize-singapore-2,5.0,2043,60.0,0.0
starbucks-singapore-47,4.0,2043,291.0,0.0
grannys-pancake-singapore,4.0,2043,636.0,0.0
highlander-coffee-singapore,5.0,306,178.0,1.0
cafe-del-mar-sentosa-singapore,4.0,2043,656.0,0.0
the-coffee-bean-and-tea-leaf-singapore-54,3.0,2043,877.0,0.0
wimbly-lu-chocolate-cafe-company-singapore,4.0,713,28.0,26.0
brawn-and-brains-coffee-singapore,5.0,164,29.0,47.0
the-fabulous-baker-boy-singapore,4.0,186,66.0,3.0
jewel-coffee-singapore-15,2.0,2043,609.0,0.0
pek-kio-market-and-food-centre-singapore,5.0,1475,402.0,20.0
kith-cafe-singapore,4.0,2271,26.0,67.0
the-affogato-lounge-singapore,4.0,2479,433.0,7.0
coastal-rhythm-cafe-and-bar-singapore,5.0,2043,883.0,0.0
stateland-cafe-singapore,5.0,57,174.0,39.0
meidi-ya-singapore-2,5.0,328,24.0,48.0
mr-teh-terik-no-title,4.0,186,352.0,3.0
ellenborough-market-café-singapore,4.0,789,227.0,16.0
ba-li-ba-singapore,5.0,2043,949.0,0.0
flor-patisserie-singapore,5.0,1026,36.0,54.0
va-va-voom-cafe-singapore,5.0,2043,281.0,0.0
coalesce-singapore,3.0,2043,339.0,0.0
atlas-coffeehouse-singapore,5.0,2043,102.0,0.0
starbucks-singapore-82,4.0,18,434.0,23.0
drips-singapore,4.0,1542,14.0,79.0
the-bao-makers-singapore,4.0,1667,118.0,29.0
two-blur-guys-singapore,4.0,2445,31.0,64.0
jewel-coffee-singapore-13,5.0,1057,348.0,82.0
claudes-singapore,4.0,2061,509.0,4.0
sprmrkt-singapore-4,4.0,2043,324.0,0.0
maxwell-food-centre-singapore-3,5.0,789,2.0,16.0
the-populus-coffee-and-food-co-singapore,5.0,2493,25.0,21.0
sunday-folks-singapore,5.0,306,38.0,1.0
pine-gardens-cake-singapore,4.0,675,123.0,6.0
starbucks-singapore-26,4.0,2043,916.0,0.0
commune-singapore,5.0,2061,158.0,4.0
twg-tea-singapore-3,5.0,1602,47.0,14.0
ollella-singapore-2,4.0,27,231.0,11.0
7th-heaven-ktv-singapore,4.0,2043,964.0,0.0
hg-106-coffeeshop-singapore,5.0,2043,691.0,0.0
qiji-singapore-3,4.0,2043,443.0,0.0
toms-palette-singapore,5.0,2043,4.0,0.0
cedele-singapore-4,4.0,665,137.0,28.0
group-therapy-coffee-singapore,4.0,198,10.0,9.0
long-black-cafe-singapore,4.0,2043,197.0,0.0
strangers-reunion-singapore,4.0,376,7.0,31.0
paddy-hills-singapore,4.0,1412,105.0,22.0
toms-palette-singapore,5.0,115,4.0,30.0
plain-jane-singapore-2,5.0,2043,639.0,0.0
nylon-coffee-roasters-singapore,5.0,2350,0.0,15.0
the-coffee-bean-and-tea-leaf-singapore-53,4.0,2043,788.0,0.0
the-alley-singapore,4.0,2043,581.0,0.0
jones-the-grocer-singapore-3,4.0,198,23.0,9.0
two-bakers-cafe-singapore,5.0,2043,534.0,0.0
ten-rens-tea-singapore,4.0,430,384.0,102.0
the-bravery-cafe-singapore,5.0,164,58.0,47.0
nanyang-old-coffee-singapore,5.0,23,150.0,17.0
percolate-singapore,5.0,794,61.0,37.0
crossings-cafe-singapore,5.0,1075,89.0,10.0
freshly-baked-by-le-bijoux-singapore,5.0,23,73.0,17.0
the-coffee-stop-singapore,5.0,2043,853.0,0.0
the-assembly-ground-singapore,4.0,306,53.0,1.0
maxwell-food-centre-singapore-3,5.0,76,2.0,84.0
sheng-chen-fried-kway-teow-singapore,5.0,2043,825.0,0.0
charlie-brown-cafe-singapore-2,4.0,2068,634.0,45.0
pies-and-coffee-singapore-3,4.0,115,191.0,30.0
40-hands-singapore,4.0,57,3.0,39.0
toast-box-singapore,5.0,2043,565.0,0.0
pacamara-boutique-coffee-roasters-singapore,4.0,91,33.0,2.0
oriole-coffee-bar-singapore-2,4.0,186,8.0,3.0
choupinette-singapore,4.0,2163,64.0,103.0
rabbit-carrot-gun-singapore-2,4.0,2479,115.0,7.0
pacamara-boutique-coffee-roasters-singapore,4.0,107,33.0,57.0
sunnyhills-singapore,5.0,2043,602.0,0.0
mr-teh-terik-no-title,4.0,2043,352.0,0.0
ps-cafe-petit-singapore,4.0,581,49.0,53.0
hoshino-coffee-singapore-6,5.0,2097,632.0,33.0
the-coffee-academics-singapore,3.0,27,43.0,11.0
wild-honey-singapore,4.0,665,5.0,28.0
kith-cafe-singapore-7,2.0,75,317.0,12.0
laurent-bernard-chocolatier-singapore,5.0,220,59.0,105.0
toastbox-singapore-9,4.0,1051,613.0,5.0
tarte-by-cheryl-koh-singapore,5.0,1051,120.0,5.0
swirls-bake-shop-singapore,5.0,186,109.0,3.0
the-dark-gallery-singapore,4.0,2493,398.0,21.0
boufe-boutique-cafe-singapore,5.0,1123,136.0,19.0
a-gan-tea-singapore,4.0,2043,264.0,0.0
the-malayan-council-singapore-2,5.0,2043,951.0,0.0
urban-fairways-singapore,4.0,91,223.0,2.0
cow-palace-restaurant-and-cafe-singapore,4.0,2043,745.0,0.0
63-singapore,4.0,2043,739.0,0.0
laurent-bernard-chocolatier-singapore,5.0,2377,59.0,109.0
little-creatures-brewing-singapore-singapore,5.0,1894,256.0,78.0
loong-fatt-tau-sar-piah-singapore,5.0,675,239.0,6.0
kith-cafe-singapore,4.0,2237,26.0,8.0
play-nation-singapore,5.0,675,134.0,6.0
coffee-nowhere-singapore-3,3.0,2043,860.0,0.0
choupinette-singapore,4.0,1276,64.0,27.0
carpenter-and-cook-singapore,4.0,1276,17.0,27.0
momo-cafe-singapore,5.0,1970,214.0,68.0
rabbit-carrot-gun-singapore-2,4.0,2262,115.0,40.0
mushroom-cafe-singapore,4.0,2043,765.0,0.0
drips-singapore,4.0,1276,14.0,27.0
baker-and-cook-singapore,5.0,1022,50.0,66.0
tobys-estate-singapore,4.0,532,11.0,50.0
funan-weng-ipoh-ho-fun-singapore,4.0,2061,234.0,4.0
clementi-881-coffee-station-singapore,5.0,2043,528.0,0.0
coffee-and-toast-singapore,4.0,1051,155.0,5.0
wheelers-yard-singapore,5.0,753,83.0,65.0
the-bravery-cafe-singapore,5.0,1412,58.0,22.0
jamaica-blue-singapore-4,4.0,2043,263.0,0.0
breko-cafe-singapore,4.0,2061,74.0,4.0
nylon-coffee-roasters-singapore,5.0,713,0.0,26.0
wild-honey-singapore-3,4.0,209,18.0,38.0
kara-cafe-and-dessert-bar-singapore,4.0,2043,167.0,0.0
memo-café-singapore,4.0,2043,327.0,0.0
group-therapy-coffee-singapore,4.0,186,10.0,3.0
freshly-baked-by-le-bijoux-singapore,5.0,2043,73.0,0.0
isle-eating-house-singapore,5.0,675,265.0,6.0
killiney-kopitiam-newton-singapore,4.0,1051,497.0,5.0
the-bao-makers-singapore,4.0,1123,118.0,19.0
laurent-bernard-chocolatier-singapore,5.0,570,59.0,59.0
the-disgruntled-chef-singapore,4.0,198,92.0,9.0
koi-cafe-singapore-2,5.0,753,156.0,65.0
beanstro-singapore,3.0,1359,230.0,32.0
atlas-coffeehouse-singapore,5.0,665,102.0,28.0
the-coffee-bean-and-tea-leaf-singapore-64,4.0,1412,510.0,22.0
hattendo-cafe-singapore,3.0,91,351.0,2.0
chye-seng-huat-hardware-singapore,5.0,198,1.0,9.0
toms-palette-singapore,5.0,27,4.0,11.0
the-wired-monkey-singapore-singapore,5.0,115,426.0,30.0
atlas-coffeehouse-singapore,5.0,2479,102.0,7.0
o-bean-organic-soya-store-singapore-3,4.0,198,380.0,9.0
going-om-singapore,5.0,2043,100.0,0.0
chatime-singapore-2,4.0,306,516.0,1.0
starbucks-singapore-107,4.0,2043,753.0,0.0
nassim-hill-bakery-bistro-bar-singapore,4.0,2262,41.0,40.0
da-paolo-gastronomia-holland-village-singapore-2,4.0,27,82.0,11.0
living-cafe-and-deli-singapore,4.0,1602,81.0,14.0
hoshino-coffee-singapore-2,4.0,2043,512.0,0.0
brill-singapore,4.0,2043,255.0,0.0
mr-bean-singapore-16,3.0,1486,383.0,81.0
jamaica-blue-singapore-2,4.0,1051,233.0,5.0
micro-bakery-and-kitchen-singapore,4.0,2043,887.0,0.0
laurent-bernard-chocolatier-singapore,5.0,26,59.0,96.0
oriole-coffee-bar-singapore-2,4.0,1722,8.0,73.0
enchanted-cafe-singapore,5.0,2043,517.0,0.0
walking-on-sunshine-cafe-singapore,4.0,1722,493.0,73.0
yahava-koffeeworks-singapore,5.0,1882,101.0,46.0
alchemist-singapore-2,4.0,2043,341.0,0.0
the-populus-coffee-and-food-co-singapore,5.0,306,25.0,1.0
old-hen-coffee-bar-singapore-2,4.0,1585,44.0,13.0
riders-cafe-singapore,4.0,1894,54.0,78.0
choupinette-singapore,4.0,1160,64.0,60.0
wild-honey-singapore-3,4.0,1123,18.0,19.0
lynns-cakes-and-coffee-singapore,4.0,306,241.0,1.0
mollys-singapore,3.0,1882,391.0,46.0
gong-cha-singapore-48,4.0,2043,409.0,0.0
arteastiq-singapore-3,4.0,2043,462.0,0.0
two-men-bagel-house-singapore-4,5.0,2479,175.0,7.0
living-cafe-and-deli-singapore,4.0,2043,81.0,0.0
joan-bowen-the-special-culinary-centre-singapore,5.0,2043,783.0,0.0
simply-bread-singapore-2,4.0,2043,129.0,0.0
hoshino-coffee-singapore,4.0,2043,45.0,0.0
ohsumi-singapore,4.0,2043,671.0,0.0
makko-teck-neo-singapore,5.0,2043,204.0,0.0
patties-and-wiches-singapore,1.0,2479,361.0,7.0
sun-moon-singapore,3.0,2043,356.0,0.0
nassim-hill-bakery-bistro-bar-singapore,4.0,1075,41.0,10.0
crossings-cafe-singapore,5.0,306,89.0,1.0
artisan-boulangerie-co-singapore-7,4.0,2043,235.0,0.0
professor-brawn-cafe-singapore,4.0,2097,186.0,33.0
jimmy-monkey-cafe-and-bar-singapore,4.0,105,9.0,89.0
paris-baguette-singapore-5,4.0,2043,479.0,0.0
the-milky-way-singapore,4.0,1075,280.0,10.0
crepe-signature-singapore,4.0,2043,400.0,0.0
ya-kun-kaya-toast-singapore-10,4.0,26,300.0,96.0
spize-singapore-2,5.0,164,60.0,47.0
kagurazaka-saryo-singapore,4.0,2043,427.0,0.0
tolidos-espresso-nook-singapore-3,5.0,1667,35.0,29.0
wild-honey-singapore,4.0,809,5.0,44.0
flock-café-singapore,5.0,2061,37.0,4.0
cafe-football-singapore,5.0,2043,579.0,0.0
open-farm-community-singapore,5.0,1894,27.0,78.0
caffe-vergnano-1882-singapore-3,3.0,2043,219.0,0.0
ya-kun-kaya-toast-singapore-43,4.0,2043,944.0,0.0
four-seasons-singapore-2,4.0,2043,594.0,0.0
patisserie-g-singapore,4.0,198,75.0,9.0
chye-seng-huat-hardware-singapore,5.0,407,1.0,95.0
sun-ray-cafe-singapore,4.0,186,126.0,3.0
warung-ijo-singapore-2,4.0,2043,684.0,0.0
the-lokal-singapore,5.0,2043,32.0,0.0
smoothy-de-cafe-singapore,4.0,2043,643.0,0.0
da-paolo-gastronomia-orchard-paragon-singapore,4.0,2043,544.0,0.0
the-stamford-brasserie-singapore,4.0,2043,926.0,0.0
wa-cafe-singapore,5.0,1213,313.0,94.0
old-habits-singapore,5.0,2068,537.0,45.0
chye-seng-huat-hardware-singapore,5.0,2073,1.0,90.0
toms-palette-singapore,5.0,57,4.0,39.0
segafredo-zanetti-singapore,4.0,2043,871.0,0.0
ps-cafe-singapore-7,5.0,186,39.0,3.0
butter-studio-singapore-2,4.0,1602,268.0,14.0
the-chocolate-bar-singapore-2,4.0,2043,901.0,0.0
rocky-master-singapore,4.0,1585,229.0,13.0
chettynad-curry-palace-singapore,4.0,2043,910.0,0.0
violet-oons-kitchen-singapore,5.0,322,34.0,86.0
drury-lane-singapore,4.0,2043,56.0,0.0
hanis-singapore-2,5.0,2043,920.0,0.0
wild-honey-singapore,4.0,2493,5.0,21.0
group-therapy-cafe-singapore,4.0,75,113.0,12.0
toast-box-singapore-11,3.0,2043,870.0,0.0
the-coffee-bean-and-tea-leaf-singapore-64,4.0,2043,510.0,0.0
novus-singapore-2,4.0,2043,161.0,0.0
wheelers-yard-singapore,5.0,1989,83.0,35.0
breko-cafe-singapore,4.0,241,74.0,101.0
toast-box-singapore,5.0,488,565.0,24.0
omb-singapore-2,3.0,2043,532.0,0.0
spize-singapore-2,5.0,1276,60.0,27.0
old-hen-coffee-bar-singapore-2,4.0,1412,44.0,22.0
da-paolo-gastronomia-holland-village-singapore-2,4.0,1022,82.0,66.0
dazzling-cafe-pink-singapore,4.0,91,630.0,2.0
the-coffee-academics-singapore,3.0,1123,43.0,19.0
mugiya-singapore,4.0,2043,405.0,0.0
strangers-reunion-singapore,4.0,198,7.0,9.0
twg-tea-salon-and-boutique-singapore-2,5.0,2043,208.0,0.0
my-awesome-cafe-singapore,5.0,1123,48.0,19.0
coffee-bandits-singapore,4.0,306,196.0,1.0
wild-honey-singapore-3,4.0,1542,18.0,79.0
jimmy-monkey-cafe-and-bar-singapore,4.0,2073,9.0,90.0
maxwell-food-centre-singapore-3,5.0,1359,2.0,32.0
caffe-vergnano-1882-singapore-3,3.0,75,219.0,12.0
verdure-cafe-singapore,4.0,91,358.0,2.0
ya-kun-kaya-toast-singapore-17,4.0,1779,470.0,52.0
common-man-coffee-roasters-singapore,4.0,23,13.0,17.0
coffee-hive-singapore-6,4.0,2043,787.0,0.0
the-muffinry-bakery-and-cafe-singapore,4.0,1902,84.0,55.0
tianns-bakery-singapore,5.0,1316,260.0,106.0
choupinette-singapore,4.0,128,64.0,34.0
muffinman-singapore,4.0,2043,667.0,0.0
vanilla-bar-and-café-singapore-2,4.0,376,176.0,31.0
common-man-coffee-roasters-singapore,4.0,2237,13.0,8.0
6oz-espresso-bar-singapore,5.0,1779,237.0,52.0
courtyard-cafe-and-lounge-singapore,3.0,91,474.0,2.0
jimmy-monkey-cafe-and-bar-singapore,4.0,713,9.0,26.0
kafe-utu-no-title,5.0,1359,288.0,32.0
apollo-coffee-bar-singapore,3.0,794,266.0,37.0
stamping-ground-singapore-2,4.0,2043,254.0,0.0
old-town-white-coffee-singapore-8,3.0,115,215.0,30.0
d-good-cafe-singapore,4.0,1075,62.0,10.0
common-man-coffee-roasters-singapore,4.0,225,13.0,43.0
kith-cafe-singapore,4.0,2377,26.0,109.0
open-farm-community-singapore,5.0,1057,27.0,82.0
max-brenner-chocolate-bar-singapore-2,4.0,2043,160.0,0.0
t-cafe-gong-cha-singapore,5.0,675,195.0,6.0
creamier-singapore,5.0,115,16.0,30.0
one-man-coffee-singapore,5.0,949,72.0,97.0
tong-heng-singapore-3,5.0,1026,51.0,54.0
ps-cafe-singapore-8,4.0,2473,55.0,51.0
food-for-thought-singapore,4.0,2271,20.0,67.0
ps-cafe-singapore-8,4.0,488,55.0,24.0
cafe-melba-singapore,4.0,2044,42.0,25.0
stateland-cafe-singapore,5.0,2043,174.0,0.0
liho-tea-singapore-128,4.0,1412,524.0,22.0
raffles-place-bistro-singapore,5.0,2043,720.0,0.0
wilder-singapore,5.0,2043,463.0,0.0
m-seven-cafe-singapore,4.0,675,538.0,6.0
starbucks-singapore-100,4.0,581,57.0,53.0
dblshots-cafe-singapore,3.0,1882,373.0,46.0
happy-tummy-singapore-2,5.0,2043,271.0,0.0
joe-and-the-juice-tanjong-pagar-centre-singapore,4.0,2043,928.0,0.0
da-paolo-gastronomia-holland-village-singapore-2,4.0,898,82.0,41.0
jin-wee-coffee-shop-singapore,4.0,2043,601.0,0.0
the-coffee-bean-and-tea-leaf-singapore-37,5.0,2043,855.0,0.0
craftsmen-specialty-coffee-singapore-3,4.0,306,119.0,1.0
enchanted-cafe-singapore,5.0,1412,517.0,22.0
the-disgruntled-chef-singapore,4.0,2043,92.0,0.0
graffiti-cafe-singapore-2,3.0,2043,338.0,0.0
omb-singapore-2,3.0,1123,532.0,19.0
choupinette-singapore,4.0,2192,64.0,77.0
food-for-thought-singapore,4.0,1075,20.0,10.0
lolas-cafe-singapore,4.0,23,67.0,17.0
manicurious-singapore,5.0,1880,80.0,75.0
new-station-snack-bar-singapore,5.0,1051,459.0,5.0
starbucks-singapore-42,4.0,1599,182.0,83.0
sweetspot-singapore-2,5.0,2043,149.0,0.0
cedele-singapore-55,4.0,91,411.0,2.0
old-town-white-coffee-singapore-5,3.0,2043,328.0,0.0
candour-coffee-singapore,5.0,1637,597.0,88.0
symmetry-singapore,4.0,665,19.0,28.0
mr-teh-tarik-cartel-singapore,5.0,128,183.0,34.0
manicurious-singapore,5.0,713,80.0,26.0
the-bravery-cafe-singapore,5.0,1722,58.0,73.0
da-paolo-gastronomia-holland-village-singapore-2,4.0,970,82.0,74.0
oriole-coffee-bar-singapore-2,4.0,1825,8.0,42.0
la-ristrettos-singapore,5.0,2061,91.0,4.0
chye-seng-huat-hardware-singapore,5.0,2192,1.0,77.0
nanyang-old-coffee-singapore-7,3.0,2043,897.0,0.0
kith-cafe-singapore,4.0,2043,26.0,0.0
koi-cafe-singapore,5.0,2043,895.0,0.0
oriole-coffee-bar-singapore-2,4.0,1902,8.0,55.0
d-good-cafe-singapore,4.0,2043,62.0,0.0
two-men-bagel-house-singapore-4,5.0,115,175.0,30.0
creamier-singapore,5.0,1602,16.0,14.0
gentlebros-cafe-singapore,5.0,2043,424.0,0.0
paris-baguette-singapore-3,4.0,1602,530.0,14.0
strangers-reunion-singapore,4.0,1274,7.0,58.0
yijia-bakery-house-singapore,4.0,2043,766.0,0.0
brunches-cafe-singapore-3,5.0,2043,147.0,0.0
artisan-boulangerie-co-singapore-4,5.0,2043,250.0,0.0
selfie-coffee-singapore,5.0,2218,177.0,71.0
valle-bar-cafe-singapore,4.0,1276,547.0,27.0
coffee-bean-and-tea-leaf-singapore-7,4.0,2043,641.0,0.0
group-therapy-coffee-singapore,4.0,27,10.0,11.0
nylon-coffee-roasters-singapore,5.0,1160,0.0,60.0
koko-rooloo-singapore,4.0,1779,595.0,52.0
the-coffee-bean-and-tea-leaf-singapore-46,4.0,675,306.0,6.0
gong-cha-royal-cafe-singapore,4.0,2043,444.0,0.0
hanis-singapore,4.0,75,171.0,12.0
beanstro-singapore,3.0,1585,230.0,13.0
food-for-thought-singapore,4.0,2043,20.0,0.0
the-populus-coffee-and-food-co-singapore,5.0,91,25.0,2.0
hoshino-coffee-singapore,4.0,1989,45.0,35.0
starbucks-singapore-100,4.0,1276,57.0,27.0
coftea-marine-parade-market-and-food-centre-singapore,5.0,2043,885.0,0.0
dutch-baby-cafe-singapore-2,3.0,2043,954.0,0.0
the-bread-project-singapore,4.0,2043,133.0,0.0
the-providore-singapore-3,4.0,2043,418.0,0.0
seed-and-soil-singapore,5.0,2043,559.0,0.0
jamaica-blue-singapore-2,4.0,2043,233.0,0.0
joe-and-dough-singapore-9,3.0,2043,919.0,0.0
