shops,ratings,userids,shops_index,userids_index
strangers-reunion-singapore,4.0,2445,7.0,64.0
wild-honey-singapore,4.0,2237,5.0,8.0
carpenter-and-cook-singapore,4.0,2068,17.0,45.0
bread-and-hearth-singapore,5.0,27,90.0,11.0
tantric-bar-and-may-wongs-cafe-singapore-2,4.0,2043,85.0,0.0
gelato-cottage-singapore,4.0,2043,359.0,0.0
wild-honey-singapore-3,4.0,2303,18.0,108.0
crossings-cafe-singapore,5.0,2043,89.0,0.0
maxwell-food-centre-singapore-3,5.0,164,2.0,47.0
south-union-park-singapore,5.0,2043,888.0,0.0
dulcet-and-studio-singapore,4.0,2043,97.0,0.0
the-famous-ice-cream-rolls-shop-singapore,2.0,2043,505.0,0.0
pies-and-coffee-singapore-5,4.0,2043,816.0,0.0
o-coffee-club-singapore-10,3.0,2043,527.0,0.0
plain-vanilla-bakery-singapore-2,5.0,1486,96.0,81.0
patisserie-g-singapore,4.0,2061,75.0,4.0
old-town-white-coffee-singapore-15,1.0,2043,707.0,0.0
the-coffee-bean-and-tea-leaf-singapore-18,3.0,2043,487.0,0.0
ta-ke-cafe-singapore,3.0,2043,649.0,0.0
swirls-bake-shop-singapore,5.0,1026,109.0,54.0
nylon-coffee-roasters-singapore,5.0,1902,0.0,55.0
tarte-by-cheryl-koh-singapore,5.0,1316,120.0,106.0
lor-mee-stall-no-title,5.0,2043,843.0,0.0
cedele-singapore-4,4.0,1602,137.0,14.0
the-tiong-bahru-club-singapore,4.0,2068,135.0,45.0
tantric-bar-and-may-wongs-cafe-singapore-2,4.0,898,85.0,41.0
toms-palette-singapore,5.0,1542,4.0,79.0
mr-teh-tarik-cartel-singapore,5.0,1316,183.0,106.0
maccha-house-singapore,4.0,2043,138.0,0.0
symmetry-singapore,4.0,1075,19.0,10.0
chatime-singapore-2,4.0,2043,516.0,0.0
drury-lane-singapore,4.0,164,56.0,47.0
spinelli-coffee-company-singapore-5,4.0,2043,836.0,0.0
doi-chaang-singapore,5.0,2043,347.0,0.0
chocolat-n-spice-singapore-2,4.0,2097,157.0,33.0
hoshino-coffee-singapore,4.0,809,45.0,44.0
starbucks-singapore-100,4.0,2540,57.0,18.0
toast-box-singapore-42,4.0,433,569.0,93.0
the-food-barn-singapore,5.0,2043,781.0,0.0
bread-and-hearth-singapore-2,3.0,1637,262.0,88.0
two-men-bagel-house-singapore,5.0,2043,12.0,0.0
caffe-beviamo-tanglin-mall-singapore,5.0,115,108.0,30.0
coffee-lounge-singapore,5.0,328,141.0,48.0
yamakawa-super-singapore,4.0,2043,274.0,0.0
tiffin-singapore,5.0,2043,445.0,0.0
symmetry-singapore,4.0,198,19.0,9.0
le-cafe-confectionery-and-pastry-singapore,5.0,1542,95.0,79.0
spize-singapore-2,5.0,2473,60.0,51.0
bearded-bella-singapore,4.0,2493,615.0,21.0
novus-singapore-2,4.0,1542,161.0,79.0
katong-yong-tau-foo-singapore,4.0,753,486.0,65.0
40-hands-singapore,4.0,2044,3.0,25.0
toast-box-singapore-63,4.0,18,307.0,23.0
tiong-hoe-specialty-coffee-singapore-3,5.0,75,286.0,12.0
pickmeup-cafe-singapore,4.0,675,461.0,6.0
lana-cake-singapore-3,5.0,1194,65.0,72.0
dc-comics-super-heroes-cafe-singapore,3.0,91,481.0,2.0
jimmy-monkey-cafe-and-bar-singapore,4.0,861,9.0,62.0
wild-honey-singapore,4.0,306,5.0,1.0
fine-cuts-singapore,4.0,2043,848.0,0.0
typhoon-cafe-singapore,4.0,91,298.0,2.0
symmetry-singapore,4.0,1861,19.0,70.0
dapper-coffee-singapore-2,4.0,91,193.0,2.0
food-for-thought-singapore,4.0,2350,20.0,15.0
patisserie-g-singapore,4.0,1585,75.0,13.0
kong-cafe-singapore-2,5.0,2043,925.0,0.0
o-coffee-club-singapore-5,4.0,2340,485.0,91.0
hvala-chijmes-singapore,4.0,2043,796.0,0.0
sarnies-singapore,4.0,1100,40.0,104.0
tobys-estate-singapore,4.0,186,11.0,3.0
artisan-boulangerie-co-singapore-8,5.0,2043,205.0,0.0
asanoya-singapore,4.0,91,107.0,2.0
balmoral-bakery-singapore,5.0,322,94.0,86.0
hill-street-coffee-shop-singapore-2,4.0,2043,915.0,0.0
the-assembly-ground-singapore,4.0,220,53.0,105.0
tolidos-espresso-nook-singapore-3,5.0,2493,35.0,21.0
collective-brewers-singapore,5.0,2237,568.0,8.0
artisan-boulangerie-co-singapore-8,5.0,1861,205.0,70.0
tolidos-espresso-nook-singapore-3,5.0,186,35.0,3.0
craftsmen-specialty-coffee-singapore,4.0,1637,98.0,88.0
letao-singapore,4.0,18,421.0,23.0
the-signature-patisserie-singapore,5.0,1075,611.0,10.0
old-hen-coffee-bar-singapore-2,4.0,1123,44.0,19.0
sinpopo-brand-singapore,5.0,75,93.0,12.0
wakey-wakey-singapore,5.0,23,490.0,17.0
maxwell-food-centre-singapore-3,5.0,2473,2.0,51.0
pine-gardens-cake-singapore,4.0,753,123.0,65.0
symmetry-singapore,4.0,1051,19.0,5.0
wimbly-lu-chocolate-cafe-company-singapore,4.0,2350,28.0,15.0
jones-the-grocer-singapore-3,4.0,2043,23.0,0.0
carpenter-and-cook-singapore,4.0,1274,17.0,58.0
violet-oons-kitchen-singapore,5.0,152,34.0,49.0
nylon-coffee-roasters-singapore,5.0,27,0.0,11.0
40-hands-singapore,4.0,1274,3.0,58.0
starbucks-singapore-129,4.0,164,128.0,47.0
pantler-singapore,5.0,1585,70.0,13.0
jewel-coffee-at-millenia-walk-singapore,4.0,1585,279.0,13.0
flock-café-singapore,5.0,2043,37.0,0.0
the-bravery-cafe-singapore,5.0,1637,58.0,88.0
ya-kun-kaya-toast-singapore-10,4.0,1777,300.0,36.0
jewel-coffee-at-great-world-city-singapore,4.0,2043,622.0,0.0
jimmy-monkey-cafe-and-bar-singapore,4.0,1160,9.0,60.0
kara-cafe-and-dessert-bar-singapore,4.0,306,167.0,1.0
pacific-coffee-singapore-4,4.0,570,220.0,59.0
tiong-bahru-bakery-singapore-4,5.0,36,6.0,85.0
toast-box-singapore-40,4.0,2043,709.0,0.0
common-man-stan-singapore,5.0,2043,116.0,0.0
memo-café-singapore,4.0,23,327.0,17.0
milksha-singapore,5.0,2043,570.0,0.0
ya-kun-kaya-toast-singapore-41,5.0,2043,896.0,0.0
chen-cai-eating-house-singapore,4.0,2043,387.0,0.0
tiong-bahru-bakery-singapore-3,4.0,1585,79.0,13.0
paris-baguette-singapore-3,4.0,2043,530.0,0.0
coffee-hut-singapore,4.0,241,154.0,101.0
the-good-boys-juice-and-coffee-bar-singapore,4.0,2043,893.0,0.0
jewel-coffee-singapore-3,5.0,75,261.0,12.0
simply-bread-singapore-3,4.0,2043,122.0,0.0
revelry-singapore,5.0,306,166.0,1.0
pacamara-boutique-coffee-roasters-singapore,4.0,23,33.0,17.0
sunday-folks-singapore,5.0,27,38.0,11.0
chin-chin-restaurant-singapore,5.0,1274,86.0,58.0
dulcet-and-studio-singapore,4.0,581,97.0,53.0
greyhound-singapore,5.0,2043,535.0,0.0
ellenborough-market-café-singapore,4.0,2043,227.0,0.0
cha-tra-mue-original-thai-tea-singapore,5.0,2043,623.0,0.0
symmetry-singapore,4.0,164,19.0,47.0
drips-singapore,4.0,789,14.0,16.0
jenny-bakery-singapore-singapore-2,4.0,2043,635.0,0.0
simply-bread-singapore-3,4.0,2350,122.0,15.0
va-va-voom-cafe-singapore,5.0,26,281.0,96.0
plain-vanilla-bakery-singapore-2,5.0,949,96.0,97.0
hanis-singapore,4.0,987,171.0,100.0
sixth-cafelink-singapore,4.0,898,388.0,41.0
common-man-coffee-roasters-singapore,4.0,1475,13.0,20.0
40-hands-singapore,4.0,2271,3.0,67.0
jamaica-blue-singapore-4,4.0,2493,263.0,21.0
crossroads-café-singapore-2,4.0,152,180.0,49.0
sunday-folks-singapore,5.0,665,38.0,28.0
rice-and-fries-singapore,4.0,1075,315.0,10.0
riders-cafe-singapore,4.0,1051,54.0,5.0
rich-and-good-cake-shop-singapore,5.0,198,52.0,9.0
mr-bean-singapore-3,4.0,76,431.0,84.0
crepe-signature-singapore,4.0,1544,400.0,99.0
kim-kee-coffee-shop-tanjong-rhu-wanton-mee-singapore,4.0,198,243.0,9.0
tcc-the-connoisseur-concerto-singapore-9,4.0,2043,514.0,0.0
dc-comics-super-heroes-cafe-singapore,3.0,2043,481.0,0.0
pantler-singapore,5.0,1075,70.0,10.0
fanny-singapore,4.0,2043,460.0,0.0
black-and-ink-no-title,5.0,1075,165.0,10.0
40-hands-singapore,4.0,2237,3.0,8.0
open-farm-community-singapore,5.0,1075,27.0,10.0
